regulator,source_system,category,path,path_str,year,reference_no,published_date,title,document_url,source_page_url
DPC,DPC-CIRCULAR,Circular,"Circulars,Deposit Protection Corporation",Circulars / Deposit Protection Corporation,2018,DPC Circular No.2 of 2018,,DPC Circular No.2 of 2018 - Declaration of Commencement of Business of Deposit Protection Corporation,Circulars/2018/C2.pdf,https://www.dpc.org.pk/Cir-2018.htm
DPC,DPC-CIRCULAR,Circular,"Circulars,Deposit Protection Corporation",Circulars / Deposit Protection Corporation,2018,DPC Circular No.3 of 2018,,DPC Circular No.3 of 2018 - Member Institutions of Deposit Protection Corporation (DPC),Circulars/2018/C3.pdf,https://www.dpc.org.pk/Cir-2018.htm
DPC,DPC-CIRCULAR,Circular,"Circulars,Deposit Protection Corporation",Circulars / Deposit Protection Corporation,2018,DPC Circular No.4 of 2018,,DPC Circular No.4 of 2018 - Deposit Protection Mechanism for Banking Companies,Circulars/2018/C4.pdf,https://www.dpc.org.pk/Cir-2018.htm
DPC,DPC-CIRCULAR,Circular,"Circulars,Deposit Protection Corporation",Circulars / Deposit Protection Corporation,2018,DPC Circular No.5 of 2018,,DPC Circular No.5 of 2018 - Shariah Compliant Deposit Protection Mechanism for Islamic Banking Institutions,Circulars/2018/C5.pdf,https://www.dpc.org.pk/Cir-2018.htm
DPC,DPC-CIRCULAR,Circular,"Circulars,Deposit Protection Corporation",Circulars / Deposit Protection Corporation,2018,DPC Circular Letter No. 01 of 2018,,DPC Circular Letter No. 01 of 2018 - Exclusion of Deposits of Various Institutions from Protected Deposits,Circulars/2018/CL1.pdf,https://www.dpc.org.pk/Cir-2018.htm
DPC,DPC-CIRCULAR,Circular,"Circulars,Deposit Protection Corporation",Circulars / Deposit Protection Corporation,2019,DPC Circular No. 01 of 2019,,DPC Circular No. 01 of 2019 - Information System for Protected Depositors of Member Banks,Circulars/2019/C1.pdf,https://www.dpc.org.pk/Cir-2019.htm
DPC,DPC-CIRCULAR,Circular,"Circulars,Deposit Protection Corporation",Circulars / Deposit Protection Corporation,2019,DPC Circular Letter No. 01 of 2019,,DPC Circular Letter No. 01 of 2019 - Information System for Protected Depositors of Member Banks,Circulars/2019/CL1.pdf,https://www.dpc.org.pk/Cir-2019.htm
DPC,DPC-CIRCULAR,Circular,"Circulars,Deposit Protection Corporation",Circulars / Deposit Protection Corporation,2020,DPC Circular Letter No. 01 of 2020,,DPC Circular Letter No. 01 of 2020 - Member Institutions of Deposit Protection Corporation (DPC),Circulars/2020/CL1.pdf,https://www.dpc.org.pk/Cir-2020.htm
DPC,DPC-CIRCULAR,Circular,"Circulars,Deposit Protection Corporation",Circulars / Deposit Protection Corporation,2020,DPC Circular Letter No. 02 of 2020,,DPC Circular Letter No. 02 of 2020 - Notification,Circulars/2020/CL2.pdf,https://www.dpc.org.pk/Cir-2020.htm
DPC,DPC-CIRCULAR,Circular,"Circulars,Deposit Protection Corporation",Circulars / Deposit Protection Corporation,2021,DPC Circular Letter No. 01 of 2021,,DPC Circular Letter No. 01 of 2021 - Notification for Enhancement of Guarantee Amount (Protected Deposit),Circulars/2021/CL1.pdf,https://www.dpc.org.pk/Cir-2021.htm
DPC,DPC-CIRCULAR,Circular,"Circulars,Deposit Protection Corporation",Circulars / Deposit Protection Corporation,2022,DPC Circular Letter No. 01 of 2022,,DPC Circular Letter No. 01 of 2022 - Single Depositor View Information System of Member Banks - Review Mechanism,Circulars/2022/CL1.pdf,https://www.dpc.org.pk/Cir-2022.htm
DPC,DPC-CIRCULAR,Circular,"Circulars,Deposit Protection Corporation",Circulars / Deposit Protection Corporation,2023,DPC Circular Letter No. 01 of 2023,,DPC Circular Letter No. 01 of 2023 - Notification,Circulars/2023/CL1.pdf,https://www.dpc.org.pk/Cir-2023.htm
DPC,DPC-CIRCULAR,Circular,"Circulars,Deposit Protection Corporation",Circulars / Deposit Protection Corporation,2023,DPC Circular Letter No. 02 of 2023,,DPC Circular Letter No. 02 of 2023 - Revision of Data Reporting Formats for Banks,Circulars/2023/CL2.pdf,https://www.dpc.org.pk/Cir-2023.htm
DPC,DPC-CIRCULAR,Circular,"Circulars,Deposit Protection Corporation",Circulars / Deposit Protection Corporation,2024,,,Notification for Enhancement of Guarantee Amount (Protected Deposit),Circulars/2024/CL3.pdf,https://www.dpc.org.pk/Cir-2024.htm
DPC,DPC-CIRCULAR,Circular,"Circulars,Deposit Protection Corporation",Circulars / Deposit Protection Corporation,2024,,,Member Institutions of Deposit Protection Corporation (DPC),Circulars/2024/CL2.pdf,https://www.dpc.org.pk/Cir-2024.htm
DPC,DPC-CIRCULAR,Circular,"Circulars,Deposit Protection Corporation",Circulars / Deposit Protection Corporation,2024,DPC Circular Letter No. 01 of 2024,,DPC Circular Letter No. 01 of 2024 - Data Reporting through Data Acquisition Portal (DAP),Circulars/2024/CL1.pdf,https://www.dpc.org.pk/Cir-2024.htm
DPC,DPC-CIRCULAR,Circular,"Circulars,Deposit Protection Corporation",Circulars / Deposit Protection Corporation,2025,DPC Circular No. 01 of 2025,,DPC Circular No. 01 of 2025 - Deposit Protection Mechanism for Digital Banks,https://www.dpc.org.pk/Circulars/2025/C1.pdf,https://www.dpc.org.pk/Cir-2025.htm
DPC,DPC-CIRCULAR,Circular,"Circulars,Deposit Protection Corporation",Circulars / Deposit Protection Corporation,2025,DPC Circular Letter No. 03 of 2025,,DPC Circular Letter No. 03 of 2025 - Member Institutions of Deposit Protection Corporation (DPC),https://www.dpc.org.pk/Circulars/2025/CL_3.pdf,https://www.dpc.org.pk/Cir-2025.htm
DPC,DPC-CIRCULAR,Circular,"Circulars,Deposit Protection Corporation",Circulars / Deposit Protection Corporation,2025,DPC Circular Letter No. 02 of 2025,,DPC Circular Letter No. 02 of 2025 - Member Institutions of Deposit Protection Corporation (DPC),https://www.dpc.org.pk/Circulars/2025/CL2.pdf,https://www.dpc.org.pk/Cir-2025.htm
DPC,DPC-CIRCULAR,Circular,"Circulars,Deposit Protection Corporation",Circulars / Deposit Protection Corporation,2025,DPC Circular Letter No. 01 of 2025,,DPC Circular Letter No. 01 of 2025 - Member Institutions of Deposit Protection Corporation (DPC),https://www.dpc.org.pk/Circulars/2025/CL1.pdf,https://www.dpc.org.pk/Cir-2025.htm
